,RAW,FREQ,FULL_NAME,ADDRESS,LOC_TYPE,STREET,CITY,STATE,ZIP,COUNTY_SYSTEM,STATUS,
31,WEISS MEMORIAL,65,LOUIS A. WEISS MEMORIAL HOSPITAL,"4646 N MARINE DR, CHICAGO, IL 60640",HOSPITAL,4646 N MARINE DR,CHICAGO,IL,60640,,,
8,LOYOLA UNIVERSI,463,LOYOLA UNIVERSITY MEDICAL CENTER,"2160 S 1ST AVE, MAYWOOD, IL 60153",HOSPITAL,2160 S 1ST AVE,MAYWOOD,IL,60153,,,
26,MAC NEAL HOSPIT,75,MACNEAL HOSPITAL,"3249 S OAK PARK AVE, BERWYN, IL 60402",HOSPITAL,3249 S OAK PARK AVE,BERWYN,IL,60402,,,
114,RUSH MAC NEAL L,2,MACNEAL HOSPITAL,"3249 S OAK PARK AVE, BERWYN, IL 60402",HOSPITAL,3249 S OAK PARK AVE,BERWYN,IL,60402,,,"Not sure if this is same - MacNeal was 100 years old in 2019, so possible at some point was Rush MacNeal, but most recent purchase was from Tenent to Loyola: https://loyolamedicine.org/news/macneal-centennial-anniversary; https://www.mcmorrowreports.com/loyola-medicine-acquire-macneal-hospital-affiliated-operations/"
78,MARTHA WASHINGT,4,MARTHA WASHINGTON HOSPITAL,"4055 N WESTERN AVE, CHICAGO, IL, 60618",HOSPITAL,4055 N WESTERN AVE,CHICAGO,IL,60618,,CLOSED,https://www.chicagotribune.com/news/ct-xpm-1991-08-10-9103270505-story.html
28,MERCY HOSPITAL,68,MERCY HOSPITAL AND MEDICAL CENTER,"2525 S MICHIGAN AVE, CHICAGO, IL 60616",HOSPITAL,2525 S MICHIGAN AVE,CHICAGO,IL,60616,,,
62,BETHANY METHODI,10,METHODIST HOSPITAL OF CHICAGO,"5025 N PAULINA ST, CHICAGO, IL 60640",HOSPITAL,5025 N PAULINA ST,CHICAGO,IL,60640,,,"MAYBE? Could be this one, owned by Bethany Methodist (though sold in 2019?) - or potentially ADVOCATE METHODIST HOSPITAL, but can't find reference to BETHANY with the advocate one"
58,METRO SOUTH MED,12,METROSOUTH MEDICAL CENTER,"12935 S GREGORY ST, BLUE ISLAND, IL 60406",HOSPITAL,12935 S GREGORY ST,BLUE ISLAND,IL,60406,,CLOSED,"Closed 2019, but temporarily reopened for COVID"
9,MICHAEL REESE H,293,MICHAEL REESE HOSPITAL AND MEDICAL CENTER,"2929 S ELLIS AVE, CHICAGO, IL, 60616",HOSPITAL,2929 S ELLIS AVE,CHICAGO,IL,60616,,CLOSED,
2,MOUNT SINAI MED,1809,MOUNT SINAI HOSPITAL,"1500 S FAIRFIELD AVE, CHICAGO, IL 60608",HOSPITAL,1500 S FAIRFIELD AVE,CHICAGO,IL,60608,,,
