,RAW,FREQ,FULL_NAME,ADDRESS,LOC_TYPE,STREET,CITY,STATE,ZIP,COUNTY_SYSTEM,STATUS,
683,SCENE 1136 W 12,1,,,,,,,,,,
684,SCENE 1137 23RD,1,,,,,,,,,,
685,SCENE 1139 N AV,1,,,,,,,,,,
686,SCENE 1140 S 13,1,,,,,,,,,,
687,SCENE 1140 W. 1,1,,,,,,,,,,
688,SCENE 1140 W. W,1,,,,,,,,,,
689,SCENE 1141 N MA,1,,,,,,,,,,
690,SCENE 11411 S L,1,,,,,,,,,,
691,SCENE 11412 S K,1,,,,,,,,,,
692,SCENE 1142 N KI,1,,,,,,,,,,
693,SCENE 1142 N. M,1,,,,,,,,,,
694,SCENE 1142 W 11,1,,,,,,,,,,
695,SCENE 11421 S.,1,,,,,,,,,,
696,SCENE 114217 CH,1,,,,,,,,,,
697,SCENE 11425 SOU,1,,,,,,,,,,
698,SCENE 11429 S C,1,,,,,,,,,,
699,SCENE 11440 S U,1,,,,,,,,,,
700,SCENE 11445 S M,1,,,,,,,,,,
701,SCENE 1145 W 84,1,,,,,,,,,,
702,SCENE 1149 EAST,1,,,,,,,,,,
703,SCENE 115 E 47T,1,,,,,,,,,,
704,SCENE 115 S 15T,1,,,,,,,,,,
705,SCENE 1150  N L,1,,,,,,,,,,
706,SCENE 1150 N CI,1,,,,,,,,,,
707,SCENE 1150 N. P,1,,,,,,,,,,
708,SCENE 11501 S.,1,,,,,,,,,,
709,SCENE 1151 N. H,1,,,,,,,,,,
710,SCENE 11512 S Y,1,,,,,,,,,,
711,SCENE 11518 S W,1,,,,,,,,,,
712,SCENE 11531 S R,1,,,,,,,,,,
713,SCENE 11532 S A,1,,,,,,,,,,
714,SCENE 11540 S Y,1,,,,,,,,,,
715,SCENE 11549 S.,1,,,,,,,,,,
716,SCENE 1155 W. 1,1,,,,,,,,,,
717,SCENE 1156 E. 1,1,,,,,,,,,,
718,SCENE 1157 NORT,1,,,,,,,,,,
719,SCENE 1157 W. G,1,,,,,,,,,,
720,SCENE 1158 N CL,1,,,,,,,,,,
721,SCENE 1158 N WA,1,,,,,,,,,,
722,SCENE 1159 W SU,1,,,,,,,,,,
723,SCENE 116 N. KE,1,,,,,,,,,,
724,SCENE 11607 S.,1,,,,,,,,,,
725,SCENE 11608 S P,1,,,,,,,,,,
726,SCENE 11619 S L,1,,,,,,,,,,
727,SCENE 11628 S C,1,,,,,,,,,,
728,SCENE 11630 S.,1,,,,,,,,,,
729,SCENE 11631 S.,1,,,,,,,,,,
730,SCENE 11642 S S,1,,,,,,,,,,
731,SCENE 11648 SOU,1,,,,,,,,,,
732,SCENE 11658 S B,1,,,,,,,,,,
733,SCENE 117 5TH A,1,,,,,,,,,,
734,SCENE 117 KILBO,1,,,,,,,,,,
735,SCENE 117 N JEF,1,,,,,,,,,,
736,SCENE 117 S KIL,1,,,,,,,,,,
737,SCENE 11712 S.,1,,,,,,,,,,
738,SCENE 11714 S.,1,,,,,,,,,,
739,SCENE 11727 S N,1,,,,,,,,,,
740,SCENE 11729 S H,1,,,,,,,,,,
741,SCENE 11730 SOU,1,,,,,,,,,,
742,SCENE 11731 S P,1,,,,,,,,,,
743,SCENE 11731 S.,1,,,,,,,,,,
744,SCENE 11735 S S,1,,,,,,,,,,
745,SCENE 11740 FRO,1,,,,,,,,,,
746,SCENE 11749 S.,1,,,,,,,,,,
747,SCENE 1175 HIGG,1,,,,,,,,,,
748,SCENE 1175 JANI,1,,,,,,,,,,
749,SCENE 11753 SOU,1,,,,,,,,,,
750,SCENE 117TH 154,1,,,,,,,,,,
751,SCENE 118 N CEN,1,,,,,,,,,,
752,SCENE 118 N KEY,1,,,,,,,,,,
753,SCENE 118 S 11T,1,,,,,,,,,,
754,SCENE 11801 S S,1,,,,,,,,,,
755,SCENE 11820 S P,1,,,,,,,,,,
756,SCENE 11848 S L,1,,,,,,,,,,
757,SCENE 11858 S.,1,,,,,,,,,,
758,SCENE 119 S CIC,1,,,,,,,,,,
759,SCENE 119 WEST,1,,,,,,,,,,
760,SCENE 11901 S Y,1,,,,,,,,,,
761,SCENE 119200 S,1,,,,,,,,,,
762,SCENE 11924 S.L,1,,,,,,,,,,
763,SCENE 11927 S E,1,,,,,,,,,,
764,SCENE 11940 S R,1,,,,,,,,,,
765,SCENE 11946 S E,1,,,,,,,,,,
766,SCENE 12 S PULA,1,,,,,,,,,,
767,SCENE 1200 E 77,1,,,,,,,,,,
768,SCENE 1200 PULA,1,,,,,,,,,,
769,SCENE 1200 S PU,1,,,,,,,,,,
770,SCENE 1200 W 11,1,,,,,,,,,,
771,SCENE 12005 S.,1,,,,,,,,,,
772,SCENE 1201 E 16,1,,,,,,,,,,
773,SCENE 1201 N LE,1,,,,,,,,,,
774,SCENE 1201 N. D,1,,,,,,,,,,
775,SCENE 12012 S N,1,,,,,,,,,,
776,SCENE 12018 S.,1,,,,,,,,,,
777,SCENE 12055 S.,1,,,,,,,,,,
778,SCENE 12056 S P,1,,,,,,,,,,
779,SCENE 1207 SOUT,1,,,,,,,,,,
780,SCENE 1208 W. 5,1,,,,,,,,,,
781,SCENE 120865 CH,1,,,,,,,,,,
782,SCENE 1209 W 79,1,,,,,,,,,,
783,SCENE 12100 S.,1,,,,,,,,,,
784,SCENE 12121 VIN,1,,,,,,,,,,
785,SCENE 12134 S W,1,,,,,,,,,,
786,"SCENE 12137 S,",1,,,,,,,,,,
787,SCENE 12139 S M,1,,,,,,,,,,
788,SCENE 1214 EAST,1,,,,,,,,,,
789,SCENE 1215 CUYL,1,,,,,,,,,,
790,SCENE 1215 E 87,1,,,,,,,,,,
791,SCENE 12158 S U,1,,,,,,,,,,
792,SCENE 1216 N CE,1,,,,,,,,,,
793,SCENE 1217 N MA,1,,,,,,,,,,
794,SCENE 1218 E 53,1,,,,,,,,,,
795,SCENE 1219 S. L,1,,,,,,,,,,
796,SCENE 122 E 47T,1,,,,,,,,,,
797,SCENE 1220 E 11,1,,,,,,,,,,
798,SCENE 1220 E 73,1,,,,,,,,,,
799,SCENE 12207 S A,1,,,,,,,,,,
800,SCENE 1221 E. 9,1,,,,,,,,,,
801,SCENE 1222 S. R,1,,,,,,,,,,
802,SCENE 12239 S N,1,,,,,,,,,,
803,SCENE 1224 N. K,1,,,,,,,,,,
804,SCENE 1224 W OH,1,,,,,,,,,,
805,SCENE 12247 S H,1,,,,,,,,,,
806,SCENE 12249 S.,1,,,,,,,,,,
807,SCENE 1225 W LA,1,,,,,,,,,,
808,SCENE 12251 S.,1,,,,,,,,,,
809,SCENE 12253 S L,1,,,,,,,,,,
810,SCENE 12258 S G,1,,,,,,,,,,
811,SCENE 12259 S S,1,,,,,,,,,,
812,SCENE 1226 MASO,1,,,,,,,,,,
813,SCENE 1226 N ME,1,,,,,,,,,,
814,SCENE 1228 W 11,1,,,,,,,,,,
815,SCENE 122ND AND,1,,,,,,,,,,
816,SCENE 123 W 1O4,1,,,,,,,,,,
817,SCENE 1230 N BU,1,,,,,,,,,,
818,SCENE 1230 N. B,1,,,,,,,,,,
819,SCENE 12300 SCE,1,,,,,,,,,,
820,SCENE 1231 S WE,1,,,,,,,,,,
821,SCENE 12311 S.,1,,,,,,,,,,
822,SCENE 12315 S E,1,,,,,,,,,,
823,SCENE 12315 SOU,1,,,,,,,,,,
824,SCENE 1232 N. M,1,,,,,,,,,,
825,SCENE 12334 S P,1,,,,,,,,,,
826,SCENE 1234 INDE,1,,,,,,,,,,
827,SCENE 1234 N PA,1,,,,,,,,,,
828,SCENE 1234 N. H,1,,,,,,,,,,
829,SCENE 1234 W 43,1,,,,,,,,,,
830,SCENE 12344 S.,1,,,,,,,,,,
831,SCENE 1236 BARB,1,,,,,,,,,,
832,SCENE 1237 N PA,1,,,,,,,,,,
833,SCENE 1237 N. K,1,,,,,,,,,,
834,SCENE 1238 E. 7,1,,,,,,,,,,
835,SCENE 1238 W 74,1,,,,,,,,,,
836,SCENE 124 E 44T,1,,,,,,,,,,
837,SCENE 124 S CIC,1,,,,,,,,,,
838,SCENE 12401 ASH,1,,,,,,,,,,
839,SCENE 12409 S M,1,,,,,,,,,,
840,SCENE 1241 THOR,1,,,,,,,,,,
841,SCENE 1242 N. L,1,,,,,,,,,,
842,SCENE 1242 W 97,1,,,,,,,,,,
843,SCENE 12427 S W,1,,,,,,,,,,
844,SCENE 12437 S.,1,,,,,,,,,,
845,SCENE 1244 W 61,1,,,,,,,,,,
846,SCENE 1245 S. N,1,,,,,,,,,,
847,SCENE 1247 N HA,1,,,,,,,,,,
848,SCENE 1248 W 72,1,,,,,,,,,,
849,SCENE 1248 W 89,1,,,,,,,,,,
850,SCENE 125 LINCO,1,,,,,,,,,,
851,SCENE 12500 S D,1,,,,,,,,,,
852,SCENE 12515 S E,1,,,,,,,,,,
853,SCENE 1253 N SP,1,,,,,,,,,,
854,SCENE 1253 N. D,1,,,,,,,,,,
855,SCENE 12545 S.,1,,,,,,,,,,
856,SCENE 12556  SO,1,,,,,,,,,,
857,SCENE 1259 N LO,1,,,,,,,,,,
858,SCENE 1259 W 79,1,,,,,,,,,,
859,SCENE 126 N. LO,1,,,,,,,,,,
860,SCENE 12607 S.,1,,,,,,,,,,
861,SCENE 12622 S L,1,,,,,,,,,,
862,SCENE 12622 S.,1,,,,,,,,,,
863,SCENE 12625 S W,1,,,,,,,,,,
864,SCENE 1265 CUNN,1,,,,,,,,,,
865,SCENE 1265 W AU,1,,,,,,,,,,
866,SCENE 127 EAST,1,,,,,,,,,,
867,SCENE 127 S KAR,1,,,,,,,,,,
868,SCENE 127 SOUTH,1,,,,,,,,,,
869,SCENE 12715 S S,1,,,,,,,,,,
870,SCENE 12725  S,1,,,,,,,,,,
871,SCENE 12751 S.,1,,,,,,,,,,
872,SCENE 128 E 51S,1,,,,,,,,,,
873,SCENE 12837 SJU,1,,,,,,,,,,
874,SCENE 1285 W NO,1,,,,,,,,,,
875,SCENE 129 EAST,1,,,,,,,,,,
876,SCENE 12957 S.,1,,,,,,,,,,
877,SCENE 13 W. 120,1,,,,,,,,,,
878,SCENE 130 E. 14,1,,,,,,,,,,
879,SCENE 130 N LEA,1,,,,,,,,,,
880,SCENE 130 S SAC,1,,,,,,,,,,
881,SCENE 1300 N. 2,1,,,,,,,,,,
882,SCENE 1300 S KA,1,,,,,,,,,,
883,SCENE 1300 W 90,1,,,,,,,,,,
884,SCENE 1300 W GR,1,,,,,,,,,,
885,SCENE 1300 W. 7,1,,,,,,,,,,
886,SCENE 13003 S E,1,,,,,,,,,,
887,SCENE 1301 S. A,1,,,,,,,,,,
888,SCENE 1301 W SH,1,,,,,,,,,,
889,SCENE 1301 W. H,1,,,,,,,,,,
890,SCENE 1302 W. 1,1,,,,,,,,,,
891,SCENE 13040 S D,1,,,,,,,,,,
892,SCENE 1305 OTTO,1,,,,,,,,,,
893,SCENE 1308 W 48,1,,,,,,,,,,
894,SCENE 13080 S G,1,,,,,,,,,,
895,SCENE 131 E 155,1,,,,,,,,,,
896,SCENE 131 E 72N,1,,,,,,,,,,
897,SCENE 131 W 114,1,,,,,,,,,,
898,SCENE 1310 E. 5,1,,,,,,,,,,
899,SCENE 1313 CENT,1,,,,,,,,,,
900,SCENE 1313 E 71,1,,,,,,,,,,
901,SCENE 1313 S KO,1,,,,,,,,,,
902,SCENE 13135 S C,1,,,,,,,,,,
903,SCENE 1314 E 71,1,,,,,,,,,,
904,SCENE 13142 S.,1,,,,,,,,,,
905,SCENE 1315 E 75,1,,,,,,,,,,
906,SCENE 1315 S 59,1,,,,,,,,,,
907,SCENE 1315 SOUT,1,,,,,,,,,,
908,SCENE 1317 W EL,1,,,,,,,,,,
909,SCENE 1317 W HA,1,,,,,,,,,,
910,SCENE 1319 W HA,1,,,,,,,,,,
911,SCENE 13199 S D,1,,,,,,,,,,
912,SCENE 132 SOUTH,1,,,,,,,,,,
913,SCENE 13215 S L,1,,,,,,,,,,
914,SCENE 1322 SPAU,1,,,,,,,,,,
915,SCENE 1324 W AR,1,,,,,,,,,,
916,SCENE 1325 N. H,1,,,,,,,,,,
917,SCENE 13255 S.,1,,,,,,,,,,
918,SCENE 1327 RIDG,1,,,,,,,,,,
919,SCENE 1328 E. 7,1,,,,,,,,,,
920,SCENE 1328 WEST,1,,,,,,,,,,
921,SCENE 13295 S E,1,,,,,,,,,,
922,SCENE 133 EAST,1,,,,,,,,,,
923,SCENE 133 W 95T,1,,,,,,,,,,
924,SCENE 1330 S HE,1,,,,,,,,,,
925,SCENE 1331 N. W,1,,,,,,,,,,
926,SCENE 1331 S RO,1,,,,,,,,,,
927,SCENE 1333 WEST,1,,,,,,,,,,
928,SCENE 1334 S AS,1,,,,,,,,,,
929,SCENE 1334 SOUT,1,,,,,,,,,,
930,SCENE 1334 W DI,1,,,,,,,,,,
931,SCENE 13350 S H,1,,,,,,,,,,
932,SCENE 13355 S.,1,,,,,,,,,,
933,SCENE 1336 W 79,1,,,,,,,,,,
934,SCENE 1340 S. O,1,,,,,,,,,,
935,SCENE 1340 W. 1,1,,,,,,,,,,
936,SCENE 1341 N LO,1,,,,,,,,,,
937,SCENE 1341 W DI,1,,,,,,,,,,
938,SCENE 13410 S D,1,,,,,,,,,,
939,SCENE 13420 SOU,1,,,,,,,,,,
940,SCENE 1346 N AR,1,,,,,,,,,,
941,SCENE 1346 S LA,1,,,,,,,,,,
942,SCENE 1346 S. T,1,,,,,,,,,,
943,SCENE 1346 W CA,1,,,,,,,,,,
944,SCENE 1346 W HA,1,,,,,,,,,,
945,SCENE 1347 N. H,1,,,,,,,,,,
946,SCENE 1348 E. 4,1,,,,,,,,,,
947,SCENE 134W.119T,1,,,,,,,,,,
948,SCENE 135 E MAI,1,,,,,,,,,,
949,SCENE 135 W. 68,1,,,,,,,,,,
950,SCENE 1351 N. L,1,,,,,,,,,,
951,SCENE 1351 W 87,1,,,,,,,,,,
952,SCENE 1352  KEY,1,,,,,,,,,,
953,SCENE 13529 S.,1,,,,,,,,,,
954,SCENE 13537 S A,1,,,,,,,,,,
955,SCENE 1355 KING,1,,,,,,,,,,
956,SCENE 1355 N MA,1,,,,,,,,,,
957,SCENE 1358 N HA,1,,,,,,,,,,
958,SCENE 1358 W. M,1,,,,,,,,,,
959,SCENE 136 BLOCK,1,,,,,,,,,,
960,SCENE 136 EAST,1,,,,,,,,,,
961,SCENE 13600 S S,1,,,,,,,,,,
962,SCENE 13601 S C,1,,,,,,,,,,
963,SCENE 1363 E 90,1,,,,,,,,,,
964,SCENE 1364 E 53,1,,,,,,,,,,
965,SCENE 1364 EAST,1,,,,,,,,,,
966,SCENE 13664 S W,1,,,,,,,,,,
967,SCENE 13710 S D,1,,,,,,,,,,
968,SCENE 13714 S C,1,,,,,,,,,,
969,SCENE 13719 HOM,1,,,,,,,,,,
970,SCENE 13729 S E,1,,,,,,,,,,
971,SCENE 13734 S S,1,,,,,,,,,,
972,SCENE 1375 REBE,1,,,,,,,,,,
973,SCENE 1376 WYND,1,,,,,,,,,,
974,SCENE 13800 S D,1,,,,,,,,,,
975,SCENE 13812 S D,1,,,,,,,,,,
976,SCENE 13826 PAR,1,,,,,,,,,,
977,SCENE 13841 S.,1,,,,,,,,,,
978,SCENE 138TH & T,1,,,,,,,,,,
979,SCENE 140 S DEA,1,,,,,,,,,,
980,SCENE 140 W 104,1,,,,,,,,,,
981,SCENE 140 W 73R,1,,,,,,,,,,
982,SCENE 140 W 95T,1,,,,,,,,,,
983,SCENE 1400 DREX,1,,,,,,,,,,
984,SCENE 1400 E 13,1,,,,,,,,,,
985,SCENE 1400 E. 1,1,,,,,,,,,,
986,SCENE 1400 N. L,1,,,,,,,,,,
987,SCENE 1400 S SA,1,,,,,,,,,,
988,SCENE 14008 EAS,1,,,,,,,,,,
989,SCENE 1402 W. R,1,,,,,,,,,,
990,SCENE 1403 N. L,1,,,,,,,,,,
991,SCENE 14035 TRA,1,,,,,,,,,,
992,SCENE 1404 S. A,1,,,,,,,,,,
993,SCENE 1405 AMBA,1,,,,,,,,,,
994,SCENE 14050 TRA,1,,,,,,,,,,
995,SCENE 1406 S CH,1,,,,,,,,,,
996,SCENE 1406 S HA,1,,,,,,,,,,
997,SCENE 1406 S. H,1,,,,,,,,,,
998,SCENE 1407 S DR,1,,,,,,,,,,
999,SCENE 1409 W. 1,1,,,,,,,,,,
1000,SCENE 1410 N 21,1,,,,,,,,,,
1001,SCENE 1410 W. 1,1,,,,,,,,,,
1002,SCENE 14116 S S,1,,,,,,,,,,
1003,SCENE 14118 S A,1,,,,,,,,,,
1004,SCENE 14121 LYD,1,,,,,,,,,,
1005,SCENE 14121 REE,1,,,,,,,,,,
1006,SCENE 1414 N.43,1,,,,,,,,,,
1007,SCENE 1416 EAST,1,,,,,,,,,,
1008,SCENE 1416 S DR,1,,,,,,,,,,
1009,SCENE 1417 N KI,1,,,,,,,,,,
1010,SCENE 1418  N W,1,,,,,,,,,,
1011,SCENE 1418 N  M,1,,,,,,,,,,
1012,SCENE 1419 N LA,1,,,,,,,,,,
1013,SCENE 1419 N. S,1,,,,,,,,,,
1014,SCENE 142 N. LO,1,,,,,,,,,,
1015,SCENE 142 S KIL,1,,,,,,,,,,
1016,SCENE 142 W. 10,1,,,,,,,,,,
1017,SCENE 1420 S 6T,1,,,,,,,,,,
1018,SCENE 1420 S AV,1,,,,,,,,,,
1019,SCENE 1420 S. 5,1,,,,,,,,,,
1020,SCENE 1420 W. 4,1,,,,,,,,,,
1021,SCENE 14200 COT,1,,,,,,,,,,
1022,SCENE 1421 S AV,1,,,,,,,,,,
1023,SCENE 1422 DODG,1,,,,,,,,,,
1024,SCENE 14226 DOB,1,,,,,,,,,,
1025,"SCENE 1423 N, H",1,,,,,,,,,,
1026,SCENE 14234 SCH,1,,,,,,,,,,
1027,SCENE 1424 W PR,1,,,,,,,,,,
1028,SCENE 14247 LIN,1,,,,,,,,,,
1029,SCENE 1427 W. 7,1,,,,,,,,,,
1030,SCENE 1430 N. D,1,,,,,,,,,,
1031,SCENE 1430 NORT,1,,,,,,,,,,
1032,SCENE 1433 S. K,1,,,,,,,,,,
1033,SCENE 1433 W WA,1,,,,,,,,,,
1034,SCENE 1435 N HU,1,,,,,,,,,,
1035,SCENE 1436 S. 5,1,,,,,,,,,,
1036,SCENE 1436 W 10,1,,,,,,,,,,
1037,SCENE 1437  DIP,1,,,,,,,,,,
1038,SCENE 144 AND L,1,,,,,,,,,,
1039,SCENE 144 N MAY,1,,,,,,,,,,
1040,SCENE 144 NORTH,1,,,,,,,,,,
1041,SCENE 1440 E 52,1,,,,,,,,,,
1042,SCENE 1440 N LA,1,,,,,,,,,,
1043,SCENE 1440 W 84,1,,,,,,,,,,
1044,SCENE 14407  DA,1,,,,,,,,,,
1045,SCENE 1441 W 54,1,,,,,,,,,,
1046,SCENE 1441 W. W,1,,,,,,,,,,
1047,SCENE 1442 N WI,1,,,,,,,,,,
1048,SCENE 14423 CHI,1,,,,,,,,,,
1049,SCENE 14423 LIN,1,,,,,,,,,,
1050,SCENE 14435 S.,1,,,,,,,,,,
1051,SCENE 1444 REGE,1,,,,,,,,,,
1052,SCENE 1445 S. H,1,,,,,,,,,,
1053,SCENE 1446 W  9,1,,,,,,,,,,
1054,SCENE 1449 WEST,1,,,,,,,,,,
1055,SCENE 1450 N CL,1,,,,,,,,,,
1056,SCENE 14503 VAN,1,,,,,,,,,,
1057,SCENE 1451 N AS,1,,,,,,,,,,
1058,SCENE 1452 S PU,1,,,,,,,,,,
1059,SCENE 14525 S.,1,,,,,,,,,,
1060,SCENE 1455 S KE,1,,,,,,,,,,
1061,SCENE 1456 N. A,1,,,,,,,,,,
1062,SCENE 1456 N. M,1,,,,,,,,,,
1063,SCENE 1457 N. L,1,,,,,,,,,,
1064,SCENE 1458 W 10,1,,,,,,,,,,
1065,SCENE 1459 W. 7,1,,,,,,,,,,
1066,SCENE 146 E 16T,1,,,,,,,,,,
1067,SCENE 146 E.16T,1,,,,,,,,,,
1068,SCENE 14600 KEN,1,,,,,,,,,,
1069,SCENE 14600 SO.,1,,,,,,,,,,
1070,SCENE 14605 AVA,1,,,,,,,,,,
1071,SCENE 1461 W FR,1,,,,,,,,,,
1072,SCENE 14613 ASH,1,,,,,,,,,,
1073,SCENE 14616 S.,1,,,,,,,,,,
1074,SCENE 1463 E 67,1,,,,,,,,,,
1075,SCENE 1468 E 67,1,,,,,,,,,,
1076,SCENE 146TH HAL,1,,,,,,,,,,
1077,SCENE 147 RIVER,1,,,,,,,,,,
1078,SCENE 147 W 74T,1,,,,,,,,,,
1079,SCENE 1470 W. 7,1,,,,,,,,,,
1080,SCENE 14730 KET,1,,,,,,,,,,
1081,SCENE 14750 EVE,1,,,,,,,,,,
1082,SCENE 14800 S V,1,,,,,,,,,,
1083,SCENE 14805 S.,1,,,,,,,,,,
1084,SCENE 14810 MYR,1,,,,,,,,,,
1085,SCENE 14810 S.,1,,,,,,,,,,
1086,SCENE 148TH & K,1,,,,,,,,,,
1087,SCENE 14904 SOU,1,,,,,,,,,,
1088,SCENE 14912  SO,1,,,,,,,,,,
1089,SCENE 14921 LIN,1,,,,,,,,,,
1090,SCENE 15  N WAS,1,,,,,,,,,,
1091,SCENE 15 E SIBL,1,,,,,,,,,,
1092,SCENE 150 OXFOR,1,,,,,,,,,,
1093,SCENE 150 S. CA,1,,,,,,,,,,
1094,SCENE 150 W CON,1,,,,,,,,,,
1095,SCENE 150 W JOE,1,,,,,,,,,,
1096,SCENE 1500 BLOC,1,,,,,,,,,,
1097,SCENE 1500 HANO,1,,,,,,,,,,
1098,SCENE 15000 S.,1,,,,,,,,,,
1099,SCENE 1501 N TA,1,,,,,,,,,,
1100,SCENE 1501 S RI,1,,,,,,,,,,
1101,SCENE 1502 S. A,1,,,,,,,,,,
1102,SCENE 15026 FAI,1,,,,,,,,,,
1103,SCENE 1504 S 5T,1,,,,,,,,,,
1104,SCENE 15045 OAK,1,,,,,,,,,,
1105,SCENE 1505 W 63,1,,,,,,,,,,
1106,SCENE 1505 W. 7,1,,,,,,,,,,
1107,SCENE 1507 S 51,1,,,,,,,,,,
1108,SCENE 1508 SOUT,1,,,,,,,,,,
1109,SCENE 1508 W. 7,1,,,,,,,,,,
1110,SCENE 150TH MAP,1,,,,,,,,,,
1111,SCENE 151 SOUTH,1,,,,,,,,,,
1112,SCENE 151 W OHI,1,,,,,,,,,,
1113,SCENE 1510 W 13,1,,,,,,,,,,
1114,SCENE 1510 W 48,1,,,,,,,,,,
1115,SCENE 1511 W PA,1,,,,,,,,,,
1116,SCENE 15113 LEX,1,,,,,,,,,,
1117,SCENE 15122 S M,1,,,,,,,,,,
1118,SCENE 1513 N MA,1,,,,,,,,,,
1119,SCENE 15139 MEA,1,,,,,,,,,,
1120,SCENE 1514 EAST,1,,,,,,,,,,
1121,SCENE 1515 CHUR,1,,,,,,,,,,
1122,SCENE 1515 N PA,1,,,,,,,,,,
1123,SCENE 1515 S. D,1,,,,,,,,,,
1124,SCENE 1515 W 56,1,,,,,,,,,,
1125,SCENE 1516 50TH,1,,,,,,,,,,
1126,SCENE 1516 N. H,1,,,,,,,,,,
1127,SCENE 1516 W. 8,1,,,,,,,,,,
1128,SCENE 1518 W. 6,1,,,,,,,,,,
1129,SCENE 151ST AND,1,,,,,,,,,,
1130,SCENE 1520 ST C,1,,,,,,,,,,
1131,SCENE 1520 W 13,1,,,,,,,,,,
1132,SCENE 1520 W WA,1,,,,,,,,,,
1133,SCENE 1520 W. L,1,,,,,,,,,,
1134,SCENE 15201 S B,1,,,,,,,,,,
1135,SCENE 1521 E. 8,1,,,,,,,,,,
1136,SCENE 1521 N. M,1,,,,,,,,,,
1137,SCENE 1523 W CO,1,,,,,,,,,,
1138,SCENE 1523 W. 1,1,,,,,,,,,,
1139,SCENE 1524 S KE,1,,,,,,,,,,
1140,SCENE 1524 S LA,1,,,,,,,,,,
1141,SCENE 15241 S.,1,,,,,,,,,,
1142,SCENE 15258 ING,1,,,,,,,,,,
1143,SCENE 15259 S D,1,,,,,,,,,,
1144,SCENE 15263 CAL,1,,,,,,,,,,
1145,SCENE 1527 S HO,1,,,,,,,,,,
1146,SCENE 1527 W 48,1,,,,,,,,,,
1147,SCENE 1527 W. W,1,,,,,,,,,,
1148,SCENE 1528 W PR,1,,,,,,,,,,
1149,SCENE 1530 W. 6,1,,,,,,,,,,
1150,SCENE 15316 S W,1,,,,,,,,,,
1151,SCENE 1533 E 76,1,,,,,,,,,,
1152,SCENE 15332 GRE,1,,,,,,,,,,
1153,SCENE 1534 MOR,1,,,,,,,,,,
1154,SCENE 1535 S.KA,1,,,,,,,,,,
1155,SCENE 15360 ALB,1,,,,,,,,,,
1156,SCENE 1537 W 17,1,,,,,,,,,,
1157,SCENE 1537 W. 5,1,,,,,,,,,,
1158,SCENE 1540 E RE,1,,,,,,,,,,
1159,SCENE 1540 W HO,1,,,,,,,,,,
1160,SCENE 15400 S C,1,,,,,,,,,,
1161,SCENE 15400 SCA,1,,,,,,,,,,
1162,SCENE 1541  S C,1,,,,,,,,,,
1163,SCENE 1544 W 69,1,,,,,,,,,,
1164,SCENE 1547 N LE,1,,,,,,,,,,
1165,SCENE 1547 W 87,1,,,,,,,,,,
1166,SCENE 155 S. HO,1,,,,,,,,,,
1167,SCENE 1550 E 79,1,,,,,,,,,,
1168,SCENE 15500 S C,1,,,,,,,,,,
1169,SCENE 15509 WES,1,,,,,,,,,,
1170,SCENE 1551 N WE,1,,,,,,,,,,
1171,SCENE 1551 S KE,1,,,,,,,,,,
1172,SCENE 1552 W 69,1,,,,,,,,,,
1173,SCENE 15526 PAR,1,,,,,,,,,,
1174,SCENE 1554 N LA,1,,,,,,,,,,
1175,SCENE 1554 S. K,1,,,,,,,,,,
1176,SCENE 1557 SIBL,1,,,,,,,,,,
1177,SCENE 1559 S KI,1,,,,,,,,,,
1178,SCENE 1559 W. 3,1,,,,,,,,,,
1179,SCENE 1560 N HO,1,,,,,,,,,,
1180,SCENE 156116 LO,1,,,,,,,,,,
1181,SCENE 1569 N HO,1,,,,,,,,,,
1182,SCENE 15712 S W,1,,,,,,,,,,
1183,SCENE 15712 S.,1,,,,,,,,,,
1184,SCENE 15713 CAR,1,,,,,,,,,,
1185,SCENE 1572 TAHO,1,,,,,,,,,,
1186,SCENE 15802 S M,1,,,,,,,,,,
1187,SCENE 15840 S L,1,,,,,,,,,,
1188,SCENE 15TH AVE.,1,,,,,,,,,,
1189,SCENE 16 EAST O,1,,,,,,,,,,
1190,SCENE 160 AND R,1,,,,,,,,,,
1191,SCENE 160 N. GR,1,,,,,,,,,,
1192,SCENE 1600 E 76,1,,,,,,,,,,
1193,SCENE 1600 W DI,1,,,,,,,,,,
1194,SCENE 1600 W E,1,,,,,,,,,,
1195,SCENE 1601 WEST,1,,,,,,,,,,
1196,SCENE 1602 W CE,1,,,,,,,,,,
1197,SCENE 1606 14TH,1,,,,,,,,,,
1198,SCENE 1606 SOUT,1,,,,,,,,,,
1199,SCENE 1607 S KA,1,,,,,,,,,,
1200,SCENE 1607 W 59,1,,,,,,,,,,
1201,SCENE 1609 N. 3,1,,,,,,,,,,
1202,SCENE 1610 N.MA,1,,,,,,,,,,
1203,SCENE 1610 W HO,1,,,,,,,,,,
1204,SCENE 1611 N KE,1,,,,,,,,,,
1205,SCENE 1613 CHUR,1,,,,,,,,,,
1206,SCENE 1614 S SP,1,,,,,,,,,,
1207,SCENE 1614 S. S,1,,,,,,,,,,
1208,SCENE 1615 N OR,1,,,,,,,,,,
1209,SCENE 1615 W 95,1,,,,,,,,,,
1210,SCENE 1616 SOUT,1,,,,,,,,,,
1211,SCENE 1616 W. 3,1,,,,,,,,,,
1212,SCENE 1617 E 53,1,,,,,,,,,,
